Boneless Lamb Stew Chunks                         1 kg, $2.30/100g    
Halal Frozen Turkey                               $13.21/1kg $5.99/1lb
Lamb Shoulder Blade Chops                         675 g, $29.61/1kg   
Lamb Loin Chops                                   350 g, $37.11/1kg   
Smoked Turkey Breast                              175 g, $4.57/100g   
Jalapeno Peppers                                  $11.00/1kg $4.99/1lb
Jalapeno Hot Peppers                              226 g, $2.21/100g   
Chipotle Peppers in Adobo Sauce                   186 ml, $1.77/100ml 
Physalis (Gooseberries)                           200 g, $2.50/100g   
Green Mexican Sauce                               455 ml, $0.99/100ml 
Refried Pinto Beans                               546 ml, $0.69/100ml 
Pickled Jalapeño Nacho Slices                     477 ml, $0.75/100g  
Poblano Hot Peppers                               226 g, $2.21/100g   
Hot Sauce                                         370 ml, $0.81/100ml 
Corn Tostadas Original Flavor With Sea Salt       350 g, $1.00/100g   
Chili Powder Seasoning                            140 g, $3.37/100g   
Refried Black Beans                               546 ml, $0.69/100ml 
Homestyle Mexican Sauce                           455 ml, $0.92/100ml 
Chipotle Pepper Sauce                             200 ml, $0.90/100ml 
Mexicana Salsa, Medium                            453 g, $0.88/100g   
Lime Soft Drink                                   370 ml, $0.62/100ml 
Pickled Jalapeño Slices for Nachos                191 ml, $1.20/100ml 
Tomatillo                                         340 g, $1.76/100g   
Mango Soft Drink                                  370 ml, $0.62/100ml 
Green Salsa                                       453 g, $0.88/100g   
Soft Drink Mandarin Orange                        370 ml, $0.62/100ml 
Anaheim Hot Peppers                               170 g, $2.94/100g   
Mexican Cola Soda with Natural and Artificial Flavours370 ml, $0.62/100ml 
Diced Chipotle Peppers                            230 g, $1.87/100g   
Corn Tostadas Jalapeño Flavor With Sea Salt       350 g, $1.00/100g   
Corn Tostadas Chipotle Flavor With Sea Salt       350 g, $1.00/100g   
Green Pickled Sliced Jalapeno Peppers             330 ml, $1.06/100ml 
Habanero Pepper Green Hot Sauce                   120 ml, $3.33/100ml 
Atemoya                                           1 ea, $5.99/1ea     
Salsa, Hot                                        453 g, $0.99/100g   
Habanero Pepper Red Hot Sauce                     120 ml, $3.33/100ml 
Exxxtra Hot Habanero Pepper Kutbil-Ik Sauce       120 ml, $3.33/100ml 
Salsa, Medium                                     453 g, $1.04/100g   
Mole                                              255 g, $1.64/100g   
Caribbean Hot Sauce                               120 ml, $3.33/100ml 
Sauerkraut                                        796 ml, $0.50/100ml 
Iodized Sea Salt                                  750 g, $0.33/100g   
Chocolate, Milk with Whole Hazelnuts              100 g, $3.99/100g   
Liver Sausage Chub                                250 g, $2.52/100g   
Grandpa Ham                                       $36.90/1kg          
Kolbassa Loaf                                     $31.90/1kg          
Chocolate, Dark with Whole Hazelnuts              100 g, $3.99/100g   
Sikorski Garlic Sausages                          $32.90/1kg          
Dark Chocolate with Marzipan                      100 g, $3.99/100g   
Polish Kolbassa                                   $32.90/1kg          
Sesame Snack                                      30 g, $2.63/100g    
Broad Pasta Noodles                               500 g, $1.00/100g   
Village Sausage                                   $32.90/1kg          
Kabanos Sausage                                   $32.90/1kg          
Prepared Red Cabbage                              720 ml, $0.62/100ml 
Chorizo Sausage                                   $32.90/1kg          
Durum Wheat Semolina Pasta                        500 g, $0.90/100g   
Milk Chocolate with Cornflakes                    100 g, $3.99/100g   
Traditional German Egg Pasta Soup Noodles         500 g, $1.00/100g   
Rummo Gluten Free Rigatoni                        340 g, $1.47/100g   
Red Peppers, Roasted                              500 ml, $1.10/100ml 
Alpine Milk Chocolate                             100 g, $3.99/100g   
Chocolate, Milk with Butter Biscuit & Cocoa Crème 100 g, $3.99/100g   
Yellow Cornmeal                                   907 g, $0.42/100g   
Dark Chocolate with Whole Almonds                 100 g, $3.99/100g   
Hungarian Sausage                                 $29.90/1kg          
Casarecce N° 88 Durum Wheat Semolina Pasta        500 g, $0.90/100g   
Rigatoni N° 50 Durum Wheat Semolina Pasta         500 g, $0.90/100g   
Rummo Gluten Free Spaghetti                       340 g, $1.47/100g   
Riga Sprats                                       160 g, $2.18/100g   
White Chocolate Whole Hazelnut                    100 g, $3.99/100g   
Food Seasoning, No MSG added                      500 g, $1.20/100g   
Aranciata Blood Orange                            355 ml, $0.65/100ml 
Cod Liver                                         120 g, $3.58/100g   
100% Alpine Milk Chocolate Happy Cow              100 g, $2.49/100g   
Flake 4 Pack                                      80 g, $6.24/100g    
Milkinis                                          87 g, $2.86/100g    
Cokolino Cereal                                   200 g, $1.90/100g   
